instant_x,dteday,season_x,yr_x,mnth_x,weekday_x,workingday_x,weathersit_x,temp_x,atemp_x,hum_x,windspeed_x,casual_x,registered_x,Total_x,instant_y,season_y,yr_y,mnth_y,hr,weekday_y,workingday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,Total_y
20,2011-01-20,Spring,2011,January,Thursday,Working day,"Mist and
 Cloudy or Mist ",10.7,12.8,53.8,13.1,83,1844,1927,440,Spring,2011,January,08 AM,Thursday,Working day,"Clear or
 Partly cloudy",9.0,10.6,55.0,19.0,2,247,249
21,2011-01-21,Spring,2011,January,Friday,Working day,"Clear or
 Partly cloudy",7.3,7.9,45.7,23.7,75,1468,1543,464,Spring,2011,January,08 AM,Friday,Working day,"Clear or
 Partly cloudy",8.2,9.1,47.0,22.0,7,210,217
22,2011-01-22,Spring,2011,January,Saturday,Weekend,"Clear or
 Partly cloudy",2.4,4.0,40.0,11.5,93,888,981,494,Spring,2011,January,03 PM,Saturday,Weekend,"Clear or
 Partly cloudy",4.9,7.6,28.0,0.0,10,93,103
23,2011-01-23,Spring,2011,January,Sunday,Weekend,"Clear or
 Partly cloudy",4.0,4.9,43.7,16.5,150,836,986,514,Spring,2011,January,12 PM,Sunday,Weekend,"Clear or
 Partly cloudy",6.6,6.1,37.0,31.0,24,92,116
24,2011-01-24,Spring,2011,January,Monday,Working day,"Clear or
 Partly cloudy",4.0,5.9,49.2,10.6,86,1330,1416,542,Spring,2011,January,05 PM,Monday,Working day,"Clear or
 Partly cloudy",5.7,6.1,50.0,17.0,6,178,184
25,2011-01-25,Spring,2011,January,Tuesday,Working day,"Mist and
 Cloudy or Mist ",9.2,11.7,61.7,8.7,186,1799,1985,556,Spring,2011,January,08 AM,Tuesday,Working day,"Mist and
 Cloudy or Mist ",6.6,9.1,74.0,9.0,5,233,238
26,2011-01-26,Spring,2011,January,Wednesday,Working day,"Light Snow or
 Light Rain with Thunderstorm",8.9,10.2,86.2,19.7,34,472,506,578,Spring,2011,January,08 AM,Wednesday,Working day,"Light Snow or
 Light Rain with Thunderstorm",9.0,10.6,87.0,20.0,3,69,72
27,2011-01-27,Spring,2011,January,Thursday,Working day,"Clear or
 Partly cloudy",8.0,11.0,68.8,7.6,15,416,431,590,Spring,2011,January,06 PM,Thursday,Working day,"Clear or
 Partly cloudy",8.2,11.4,69.0,6.0,3,101,104
28,2011-01-28,Spring,2011,January,Friday,Working day,"Mist and
 Cloudy or Mist ",8.3,11.2,79.3,8.3,38,1129,1167,603,Spring,2011,January,08 AM,Friday,Working day,"Mist and
 Cloudy or Mist ",6.6,9.8,86.0,6.0,2,155,157
29,2011-01-29,Spring,2011,January,Saturday,Weekend,"Clear or
 Partly cloudy",8.1,10.6,65.2,9.7,123,975,1098,633,Spring,2011,January,03 PM,Saturday,Weekend,"Clear or
 Partly cloudy",9.0,10.6,69.0,17.0,22,98,120
30,2011-01-30,Spring,2011,January,Sunday,Weekend,"Clear or
 Partly cloudy",8.9,12.5,72.2,5.0,140,956,1096,657,Spring,2011,January,04 PM,Sunday,Weekend,"Clear or
 Partly cloudy",12.3,16.7,56.0,0.0,19,104,123
31,2011-01-31,Spring,2011,January,Monday,Working day,"Mist and
 Cloudy or Mist ",7.4,9.3,60.4,12.5,42,1459,1501,673,Spring,2011,January,08 AM,Monday,Working day,"Mist and
 Cloudy or Mist ",6.6,6.8,59.0,19.0,3,182,185
32,2011-02-01,Spring,2011,February,Tuesday,Working day,"Mist and
 Cloudy or Mist ",7.9,11.7,83.0,3.6,47,1313,1360,705,Spring,2011,February,05 PM,Tuesday,Working day,"Mist and
 Cloudy or Mist ",9.8,14.4,75.0,0.0,4,172,176
33,2011-02-02,Spring,2011,February,Wednesday,Working day,"Mist and
 Cloudy or Mist ",10.7,12.7,77.5,17.7,72,1454,1526,729,Spring,2011,February,05 PM,Wednesday,Working day,"Clear or
 Partly cloudy",14.8,15.9,53.0,35.0,7,183,190
34,2011-02-03,Spring,2011,February,Thursday,Working day,"Clear or
 Partly cloudy",7.7,8.9,43.8,18.6,61,1489,1550,743,Spring,2011,February,08 AM,Thursday,Working day,"Clear or
 Partly cloudy",5.7,6.1,50.0,24.0,4,184,188
35,2011-02-04,Spring,2011,February,Friday,Working day,"Mist and
 Cloudy or Mist ",8.7,11.4,58.5,8.6,88,1620,1708,766,Spring,2011,February,08 AM,Friday,Working day,"Clear or
 Partly cloudy",5.7,7.6,74.0,9.0,3,217,220
36,2011-02-05,Spring,2011,February,Saturday,Weekend,"Mist and
 Cloudy or Mist ",9.6,12.2,92.9,10.8,100,905,1005,801,Spring,2011,February,07 PM,Saturday,Weekend,"Mist and
 Cloudy or Mist ",11.5,12.1,93.0,30.0,6,78,84
37,2011-02-06,Spring,2011,February,Sunday,Weekend,"Clear or
 Partly cloudy",11.7,14.6,56.8,9.5,354,1269,1623,819,Spring,2011,February,01 PM,Sunday,Weekend,"Clear or
 Partly cloudy",13.9,18.2,46.0,0.0,47,135,182
38,2011-02-07,Spring,2011,February,Monday,Working day,"Clear or
 Partly cloudy",11.1,15.2,73.8,3.0,120,1592,1712,838,Spring,2011,February,08 AM,Monday,Working day,"Mist and
 Cloudy or Mist ",6.6,11.4,100.0,0.0,7,223,230
39,2011-02-08,Spring,2011,February,Tuesday,Working day,"Clear or
 Partly cloudy",9.1,9.9,53.8,24.3,64,1466,1530,862,Spring,2011,February,08 AM,Tuesday,Working day,"Clear or
 Partly cloudy",9.8,9.8,56.0,33.0,7,236,243
40,2011-02-09,Spring,2011,February,Wednesday,Working day,"Mist and
 Cloudy or Mist ",5.5,7.2,49.5,12.7,53,1552,1605,885,Spring,2011,February,08 AM,Wednesday,Working day,"Clear or
 Partly cloudy",4.1,6.8,42.0,0.0,1,198,199
41,2011-02-10,Spring,2011,February,Thursday,Working day,"Clear or
 Partly cloudy",5.9,7.5,43.7,14.9,47,1491,1538,908,Spring,2011,February,08 AM,Thursday,Working day,"Clear or
 Partly cloudy",4.1,3.8,49.0,22.0,5,173,178
42,2011-02-11,Spring,2011,February,Friday,Working day,"Clear or
 Partly cloudy",7.8,10.7,50.6,7.3,149,1597,1746,930,Spring,2011,February,08 AM,Friday,Working day,"Clear or
 Partly cloudy",4.1,6.1,74.0,11.0,4,212,216
43,2011-02-12,Spring,2011,February,Saturday,Weekend,"Clear or
 Partly cloudy",9.1,11.6,54.4,13.6,288,1184,1472,961,Spring,2011,February,03 PM,Saturday,Weekend,"Clear or
 Partly cloudy",13.9,15.2,29.0,28.0,47,127,174
44,2011-02-13,Spring,2011,February,Sunday,Weekend,"Clear or
 Partly cloudy",13.0,16.2,45.7,17.5,397,1192,1589,984,Spring,2011,February,03 PM,Sunday,Weekend,"Mist and
 Cloudy or Mist ",16.4,20.5,30.0,20.0,40,122,162
45,2011-02-14,Spring,2011,February,Monday,Working day,"Clear or
 Partly cloudy",17.0,19.9,37.6,28.0,208,1705,1913,1001,Spring,2011,February,08 AM,Monday,Working day,"Clear or
 Partly cloudy",15.6,19.7,40.0,31.0,7,249,256
46,2011-02-15,Spring,2011,February,Tuesday,Working day,"Clear or
 Partly cloudy",10.9,12.7,31.4,19.5,140,1675,1815,1024,Spring,2011,February,08 AM,Tuesday,Working day,"Clear or
 Partly cloudy",8.2,9.1,32.0,24.0,10,213,223
47,2011-02-16,Spring,2011,February,Wednesday,Working day,"Clear or
 Partly cloudy",13.0,15.8,42.3,16.9,218,1897,2115,1056,Spring,2011,February,05 PM,Wednesday,Working day,"Clear or
 Partly cloudy",18.9,22.7,28.0,19.0,11,244,255
48,2011-02-17,Spring,2011,February,Thursday,Working day,"Clear or
 Partly cloudy",17.9,21.4,50.5,15.4,259,2216,2475,1071,Spring,2011,February,08 AM,Thursday,Working day,"Clear or
 Partly cloudy",13.1,16.7,57.0,6.0,18,267,285
49,2011-02-18,Spring,2011,February,Friday,Working day,"Clear or
 Partly cloudy",21.4,25.6,51.7,17.7,579,2348,2927,1104,Spring,2011,February,05 PM,Friday,Working day,"Clear or
 Partly cloudy",27.1,31.1,34.0,24.0,52,275,327
50,2011-02-19,Spring,2011,February,Saturday,Weekend,"Clear or
 Partly cloudy",16.4,19.6,18.8,34.0,532,1103,1635,1125,Spring,2011,February,02 PM,Saturday,Weekend,"Clear or
 Partly cloudy",18.9,22.7,15.0,44.0,102,94,196
51,2011-02-20,Spring,2011,February,Sunday,Weekend,"Clear or
 Partly cloudy",11.7,13.9,40.8,15.0,639,1173,1812,1148,Spring,2011,February,02 PM,Sunday,Weekend,"Clear or
 Partly cloudy",14.8,17.4,27.0,11.0,108,104,212
52,2011-02-21,Spring,2011,February,Monday,Holiday,"Mist and
 Cloudy or Mist ",12.4,14.2,60.5,20.6,195,912,1107,1172,Spring,2011,February,02 PM,Monday,Holiday,"Mist and
 Cloudy or Mist ",13.1,15.2,76.0,17.0,15,101,116
53,2011-02-22,Spring,2011,February,Tuesday,Working day,"Clear or
 Partly cloudy",7.5,9.3,57.8,13.1,74,1376,1450,1193,Spring,2011,February,05 PM,Tuesday,Working day,"Clear or
 Partly cloudy",9.0,10.6,51.0,15.0,8,188,196
54,2011-02-23,Spring,2011,February,Wednesday,Working day,"Clear or
 Partly cloudy",9.1,12.3,42.3,6.3,139,1778,1917,1207,Spring,2011,February,08 AM,Wednesday,Working day,"Clear or
 Partly cloudy",5.7,7.6,54.0,11.0,8,227,235
55,2011-02-24,Spring,2011,February,Thursday,Working day,"Mist and
 Cloudy or Mist ",12.1,14.5,69.7,16.8,100,1707,1807,1230,Spring,2011,February,08 AM,Thursday,Working day,"Clear or
 Partly cloudy",9.8,11.4,70.0,15.0,8,244,252
56,2011-02-25,Spring,2011,February,Friday,Working day,"Mist and
 Cloudy or Mist ",14.9,17.5,71.2,23.2,120,1341,1461,1262,Spring,2011,February,05 PM,Friday,Working day,"Clear or
 Partly cloudy",13.1,13.6,49.0,50.0,8,181,189
57,2011-02-26,Spring,2011,February,Saturday,Weekend,"Clear or
 Partly cloudy",11.6,14.1,53.8,12.5,424,1545,1969,1283,Spring,2011,February,02 PM,Saturday,Weekend,"Mist and
 Cloudy or Mist ",13.9,15.2,36.0,22.0,57,154,211
58,2011-02-27,Spring,2011,February,Sunday,Weekend,"Clear or
 Partly cloudy",14.1,17.6,68.0,8.4,694,1708,2402,1306,Spring,2011,February,02 PM,Sunday,Weekend,"Clear or
 Partly cloudy",18.0,22.0,47.0,6.0,105,177,282
59,2011-02-28,Spring,2011,February,Monday,Working day,"Mist and
 Cloudy or Mist ",16.7,20.0,87.6,19.4,81,1365,1446,1322,Spring,2011,February,08 AM,Monday,Working day,"Mist and
 Cloudy or Mist ",13.9,15.2,93.0,20.0,13,242,255
60,2011-03-01,Spring,2011,March,Tuesday,Working day,"Clear or
 Partly cloudy",10.9,13.2,53.5,14.5,137,1714,1851,1355,Spring,2011,March,05 PM,Tuesday,Working day,"Clear or
 Partly cloudy",13.9,17.4,34.0,6.0,12,230,242
61,2011-03-02,Spring,2011,March,Wednesday,Working day,"Clear or
 Partly cloudy",13.7,16.0,45.0,20.6,231,1903,2134,1379,Spring,2011,March,05 PM,Wednesday,Working day,"Clear or
 Partly cloudy",20.5,24.2,23.0,19.0,30,238,268
62,2011-03-03,Spring,2011,March,Thursday,Working day,"Clear or
 Partly cloudy",8.1,10.0,31.8,15.1,123,1562,1685,1394,Spring,2011,March,08 AM,Thursday,Working day,"Clear or
 Partly cloudy",5.7,6.1,39.0,20.0,4,216,220
63,2011-03-04,Spring,2011,March,Friday,Working day,"Mist and
 Cloudy or Mist ",10.7,12.8,61.0,13.6,214,1730,1944,1418,Spring,2011,March,08 AM,Friday,Working day,"Clear or
 Partly cloudy",7.4,9.8,74.0,9.0,6,222,228
64,2011-03-05,Spring,2011,March,Saturday,Weekend,"Mist and
 Cloudy or Mist ",15.8,18.9,78.9,16.9,640,1437,2077,1449,Spring,2011,March,03 PM,Saturday,Weekend,"Mist and
 Cloudy or Mist ",18.9,22.7,63.0,20.0,83,122,205
65,2011-03-06,Spring,2011,March,Sunday,Weekend,"Mist and
 Cloudy or Mist ",15.4,18.3,94.8,23.0,114,491,605,1470,Spring,2011,March,01 PM,Sunday,Weekend,"Mist and
 Cloudy or Mist ",18.9,22.7,94.0,24.0,22,83,105
66,2011-03-07,Spring,2011,March,Monday,Working day,"Clear or
 Partly cloudy",10.7,11.9,55.1,22.9,244,1628,1872,1497,Spring,2011,March,05 PM,Monday,Working day,"Clear or
 Partly cloudy",13.9,15.2,29.0,24.0,27,206,233
67,2011-03-08,Spring,2011,March,Tuesday,Working day,"Clear or
 Partly cloudy",12.0,15.1,42.1,8.1,316,1817,2133,1512,Spring,2011,March,08 AM,Tuesday,Working day,"Clear or
 Partly cloudy",9.0,11.4,55.0,13.0,10,247,257
68,2011-03-09,Spring,2011,March,Wednesday,Working day,"Mist and
 Cloudy or Mist ",12.1,14.3,77.5,14.8,191,1700,1891,1536,Spring,2011,March,08 AM,Wednesday,Working day,"Mist and
 Cloudy or Mist ",9.8,12.1,87.0,9.0,11,238,249
69,2011-03-10,Spring,2011,March,Thursday,Working day,"Light Snow or
 Light Rain with Thunderstorm",16.0,19.3,0.0,17.5,46,577,623,1567,Spring,2011,March,05 PM,Thursday,Working day,"Mist and
 Cloudy or Mist ",18.0,22.0,0.0,26.0,2,109,111
70,2011-03-11,Spring,2011,March,Friday,Working day,"Mist and
 Cloudy or Mist ",13.0,15.2,65.0,15.6,247,1730,1977,1581,Spring,2011,March,08 AM,Friday,Working day,"Clear or
 Partly cloudy",11.5,13.6,70.0,17.0,15,244,259
71,2011-03-12,Spring,2011,March,Saturday,Weekend,"Clear or
 Partly cloudy",13.5,16.3,59.5,14.8,724,1408,2132,1613,Spring,2011,March,04 PM,Saturday,Weekend,"Clear or
 Partly cloudy",18.9,22.7,41.0,30.0,100,144,244
72,2011-03-13,Spring,2011,March,Sunday,Weekend,"Clear or
 Partly cloudy",15.8,19.0,52.7,18.1,982,1435,2417,1635,Spring,2011,March,03 PM,Sunday,Weekend,"Clear or
 Partly cloudy",19.7,23.5,39.0,22.0,149,155,304
73,2011-03-14,Spring,2011,March,Monday,Working day,"Clear or
 Partly cloudy",13.3,16.6,49.7,9.2,359,1687,2046,1660,Spring,2011,March,05 PM,Monday,Working day,"Clear or
 Partly cloudy",15.6,19.7,40.0,13.0,42,229,271
74,2011-03-15,Spring,2011,March,Tuesday,Working day,"Mist and
 Cloudy or Mist ",13.0,15.9,65.6,12.3,289,1767,2056,1674,Spring,2011,March,08 AM,Tuesday,Working day,"Clear or
 Partly cloudy",10.7,14.4,70.0,6.0,23,259,282
75,2011-03-16,Spring,2011,March,Wednesday,Working day,"Mist and
 Cloudy or Mist ",15.0,18.3,77.7,13.6,321,1871,2192,1697,Spring,2011,March,08 AM,Wednesday,Working day,"Mist and
 Cloudy or Mist ",13.1,15.9,93.0,0.0,26,227,253
76,2011-03-17,Spring,2011,March,Thursday,Working day,"Clear or
 Partly cloudy",17.0,20.5,60.3,14.0,424,2320,2744,1730,Spring,2011,March,05 PM,Thursday,Working day,"Clear or
 Partly cloudy",20.5,24.2,42.0,13.0,48,265,313
77,2011-03-18,Spring,2011,March,Friday,Working day,"Clear or
 Partly cloudy",22.1,26.4,52.5,15.5,884,2355,3239,1753,Spring,2011,March,05 PM,Friday,Working day,"Clear or
 Partly cloudy",28.7,31.8,37.0,22.0,95,237,332
78,2011-03-19,Spring,2011,March,Saturday,Weekend,"Clear or
 Partly cloudy",19.4,23.3,37.9,24.7,1424,1693,3117,1775,Spring,2011,March,03 PM,Saturday,Weekend,"Clear or
 Partly cloudy",20.5,24.2,29.0,28.0,170,143,313
79,2011-03-20,Spring,2011,March,Sunday,Weekend,"Clear or
 Partly cloudy",13.6,16.3,47.4,13.9,1047,1424,2471,1799,Spring,2011,March,03 PM,Sunday,Weekend,"Clear or
 Partly cloudy",16.4,20.5,32.0,6.0,172,136,308
80,2011-03-21,Summer,2011,March,Monday,Working day,"Mist and
 Cloudy or Mist ",17.6,20.5,73.7,19.3,401,1676,2077,1825,Summer,2011,March,06 PM,Monday,Working day,"Mist and
 Cloudy or Mist ",21.3,25.0,72.0,15.0,44,232,276
81,2011-03-22,Summer,2011,March,Tuesday,Working day,"Clear or
 Partly cloudy",18.1,22.0,62.5,15.1,460,2243,2703,1839,Summer,2011,March,08 AM,Tuesday,Working day,"Mist and
 Cloudy or Mist ",16.4,20.5,58.0,20.0,24,312,336
82,2011-03-23,Summer,2011,March,Wednesday,Working day,"Mist and
 Cloudy or Mist ",14.2,16.9,84.0,15.7,203,1918,2121,1871,Summer,2011,March,05 PM,Wednesday,Working day,"Mist and
 Cloudy or Mist ",16.4,20.5,76.0,15.0,28,245,273
83,2011-03-24,Summer,2011,March,Thursday,Working day,"Mist and
 Cloudy or Mist ",11.7,13.5,80.6,16.3,166,1699,1865,1895,Summer,2011,March,05 PM,Thursday,Working day,"Mist and
 Cloudy or Mist ",12.3,14.4,70.0,15.0,12,221,233
84,2011-03-25,Summer,2011,March,Friday,Working day,"Clear or
 Partly cloudy",10.8,12.8,49.5,15.5,300,1910,2210,1910,Summer,2011,March,08 AM,Friday,Working day,"Clear or
 Partly cloudy",9.0,10.6,51.0,19.0,9,228,237
85,2011-03-26,Summer,2011,March,Saturday,Weekend,"Clear or
 Partly cloudy",10.9,12.9,39.4,14.0,981,1515,2496,1942,Summer,2011,March,04 PM,Saturday,Weekend,"Clear or
 Partly cloudy",13.9,16.7,23.0,13.0,118,130,248
86,2011-03-27,Summer,2011,March,Sunday,Weekend,"Mist and
 Cloudy or Mist ",10.4,12.5,49.4,12.3,472,1221,1693,1964,Summer,2011,March,03 PM,Sunday,Weekend,"Clear or
 Partly cloudy",13.1,15.2,36.0,19.0,61,111,172
87,2011-03-28,Summer,2011,March,Monday,Working day,"Clear or
 Partly cloudy",10.8,12.9,30.2,14.2,222,1806,2028,1980,Summer,2011,March,08 AM,Monday,Working day,"Clear or
 Partly cloudy",8.2,9.8,34.0,15.0,15,239,254
88,2011-03-29,Summer,2011,March,Tuesday,Working day,"Clear or
 Partly cloudy",12.4,14.6,31.4,15.2,317,2108,2425,2013,Summer,2011,March,05 PM,Tuesday,Working day,"Clear or
 Partly cloudy",16.4,20.5,20.0,9.0,34,265,299
89,2011-03-30,Summer,2011,March,Wednesday,Working day,"Mist and
 Cloudy or Mist ",12.3,14.9,64.7,11.6,168,1368,1536,2028,Summer,2011,March,08 AM,Wednesday,Working day,"Mist and
 Cloudy or Mist ",13.1,15.9,49.0,11.0,16,247,263
90,2011-03-31,Summer,2011,March,Thursday,Working day,"Light Snow or
 Light Rain with Thunderstorm",11.0,12.9,91.8,14.6,179,1506,1685,2052,Summer,2011,March,08 AM,Thursday,Working day,"Mist and
 Cloudy or Mist ",9.8,11.4,100.0,17.0,7,185,192
91,2011-04-01,Summer,2011,April,Friday,Working day,"Mist and
 Cloudy or Mist ",12.3,14.2,68.6,17.3,307,1920,2227,2085,Summer,2011,April,05 PM,Friday,Working day,"Clear or
 Partly cloudy",13.9,15.2,46.0,22.0,36,245,281
92,2011-04-02,Summer,2011,April,Saturday,Weekend,"Mist and
 Cloudy or Mist ",12.9,15.8,65.4,13.2,898,1354,2252,2103,Summer,2011,April,11 AM,Saturday,Weekend,"Mist and
 Cloudy or Mist ",16.4,20.5,47.0,11.0,72,126,198
93,2011-04-03,Summer,2011,April,Sunday,Weekend,"Clear or
 Partly cloudy",15.5,18.9,48.0,12.2,1651,1598,3249,2129,Summer,2011,April,01 PM,Sunday,Weekend,"Clear or
 Partly cloudy",18.0,22.0,33.0,20.0,219,148,367
94,2011-04-04,Summer,2011,April,Monday,Working day,"Clear or
 Partly cloudy",23.5,27.1,42.6,25.8,734,2381,3115,2158,Summer,2011,April,06 PM,Monday,Working day,"Mist and
 Cloudy or Mist ",29.5,31.8,23.0,33.0,78,308,386
95,2011-04-05,Summer,2011,April,Tuesday,Working day,"Mist and
 Cloudy or Mist ",17.0,19.9,64.2,26.0,167,1628,1795,2181,Summer,2011,April,05 PM,Tuesday,Working day,"Clear or
 Partly cloudy",17.2,21.2,38.0,28.0,27,246,273
96,2011-04-06,Summer,2011,April,Wednesday,Working day,"Clear or
 Partly cloudy",16.0,19.4,47.1,17.6,413,2395,2808,2205,Summer,2011,April,05 PM,Wednesday,Working day,"Clear or
 Partly cloudy",21.3,25.0,32.0,30.0,53,303,356
97,2011-04-07,Summer,2011,April,Thursday,Working day,"Clear or
 Partly cloudy",17.9,21.7,60.3,10.9,571,2570,3141,2229,Summer,2011,April,05 PM,Thursday,Working day,"Clear or
 Partly cloudy",21.3,25.0,52.0,19.0,63,280,343
98,2011-04-08,Summer,2011,April,Friday,Working day,"Mist and
 Cloudy or Mist ",13.8,16.2,83.6,15.2,172,1299,1471,2244,Summer,2011,April,08 AM,Friday,Working day,"Light Snow or
 Light Rain with Thunderstorm",13.9,16.7,87.0,11.0,13,208,221
99,2011-04-09,Summer,2011,April,Saturday,Weekend,"Mist and
 Cloudy or Mist ",14.0,17.1,87.8,8.9,879,1576,2455,2277,Summer,2011,April,05 PM,Saturday,Weekend,"Mist and
 Cloudy or Mist ",15.6,19.7,82.0,6.0,128,129,257
100,2011-04-10,Summer,2011,April,Sunday,Weekend,"Mist and
 Cloudy or Mist ",17.5,21.3,85.8,9.8,1188,1707,2895,2299,Summer,2011,April,03 PM,Sunday,Weekend,"Clear or
 Partly cloudy",20.5,24.2,77.0,15.0,156,141,297
101,2011-04-11,Summer,2011,April,Monday,Working day,"Mist and
 Cloudy or Mist ",24.4,28.3,71.7,21.7,855,2493,3348,2324,Summer,2011,April,05 PM,Monday,Working day,"Clear or
 Partly cloudy",30.3,33.3,48.0,35.0,100,352,452
102,2011-04-12,Summer,2011,April,Tuesday,Working day,"Mist and
 Cloudy or Mist ",20.6,24.7,73.9,18.4,257,1777,2034,2348,Summer,2011,April,05 PM,Tuesday,Working day,"Light Snow or
 Light Rain with Thunderstorm",18.0,22.0,77.0,15.0,29,262,291
103,2011-04-13,Summer,2011,April,Wednesday,Working day,"Mist and
 Cloudy or Mist ",16.9,20.9,81.9,16.8,209,1953,2162,2373,Summer,2011,April,06 PM,Wednesday,Working day,"Clear or
 Partly cloudy",18.0,22.0,62.0,26.0,28,293,321
